model,variant,class_id,class_name,ap50_95,ap50
yolo26m_dota,tile512_ov10,8,bridge,0.24475712565531857,0.48602768606431734
yolo26m_dota,tile512_ov10,9,large vehicle,0.5531823272406763,0.7268084600831817
yolo26m_dota,tile512_ov10,10,small vehicle,0.3575703481064439,0.6787261489859006
yolo26m_dota,tile512_ov10,11,helicopter,0.28747336549400326,0.5884275449746705
yolo26m_dota,tile512_ov10,12,roundabout,0.3254772675869188,0.5515607999486736
yolo26m_dota,tile512_ov10,13,soccer ball field,0.160982709080006,0.2991317507466594
yolo26m_dota,tile512_ov10,14,swimming pool,0.2826128951062935,0.6001204297027292
yolo26m_dota,tile512_ov10,15,container crane,0.0,0.0
yolo26m_dota,tile512_ov20,0,plane,0.5934218733442864,0.8398664189170582
yolo26m_dota,tile512_ov20,1,ship,0.6662078753695384,0.897698924400681
yolo26m_dota,tile512_ov20,2,storage tank,0.46842946056717094,0.7120150378711296
yolo26m_dota,tile512_ov20,3,baseball diamond,0.3457161071828918,0.6293934204902962
yolo26m_dota,tile512_ov20,4,tennis court,0.751277696497207,0.8631674978271937
yolo26m_dota,tile512_ov20,5,basketball court,0.447849808676301,0.5577192707017
yolo26m_dota,tile512_ov20,6,ground track field,0.29223229942401874,0.4670793883794701
yolo26m_dota,tile512_ov20,7,harbor,0.38614191942044657,0.6674770189148717
yolo26m_dota,tile512_ov20,8,bridge,0.23121796718575868,0.4661139199572846
yolo26m_dota,tile512_ov20,9,large vehicle,0.5647973412080075,0.7301090114048432
yolo26m_dota,tile512_ov20,10,small vehicle,0.3608707815164619,0.6874082907143909
yolo26m_dota,tile512_ov20,11,helicopter,0.2625693139649621,0.5490598955758458
yolo26m_dota,tile512_ov20,12,roundabout,0.34777605574540704,0.5697212549265798
yolo26m_dota,tile512_ov20,13,soccer ball field,0.18962826035457375,0.327110527451107
yolo26m_dota,tile512_ov20,14,swimming pool,0.28314924117639023,0.589836483404006
yolo26m_dota,tile512_ov20,15,container crane,0.0,0.0
yolo26m_dota,tile640_ov10,0,plane,0.6085989638235,0.8576392654056224
yolo26m_dota,tile640_ov10,1,ship,0.669934439727914,0.895230244520297
yolo26m_dota,tile640_ov10,2,storage tank,0.48266625937917335,0.7280673819498049
yolo26m_dota,tile640_ov10,3,baseball diamond,0.39068866924742296,0.683468886946955
yolo26m_dota,tile640_ov10,4,tennis court,0.7875722172716748,0.8938973962246298
yolo26m_dota,tile640_ov10,5,basketball court,0.44943734673798985,0.5971556939053061
yolo26m_dota,tile640_ov10,6,ground track field,0.312552988955538,0.5071497846382254
yolo26m_dota,tile640_ov10,7,harbor,0.43225287431263015,0.7229309962078185
yolo26m_dota,tile640_ov10,8,bridge,0.261422378725712,0.4974694234146555
yolo26m_dota,tile640_ov10,9,large vehicle,0.5643032719654131,0.7317515524678182
yolo26m_dota,tile640_ov10,10,small vehicle,0.3618448266969086,0.6847296526029345
yolo26m_dota,tile640_ov10,11,helicopter,0.28027139331618395,0.5366985517825162
yolo26m_dota,tile640_ov10,12,roundabout,0.37553165798866295,0.5998713696497728
yolo26m_dota,tile640_ov10,13,soccer ball field,0.19888769895355102,0.36969721906282293
yolo26m_dota,tile640_ov10,14,swimming pool,0.2841493895077231,0.5883784669430753
yolo26m_dota,tile640_ov10,15,container crane,0.0,0.0
yolo26m_dota,tile640_ov20,0,plane,0.6296661582304236,0.8665626097280905
yolo26m_dota,tile640_ov20,1,ship,0.6751453454506305,0.9041415748027456
yolo26m_dota,tile640_ov20,2,storage tank,0.48176310633638797,0.7332855578284458
yolo26m_dota,tile640_ov20,3,baseball diamond,0.3875377489763364,0.664268162261197
yolo26m_dota,tile640_ov20,4,tennis court,0.8075874222630144,0.8903339332849903
yolo26m_dota,tile640_ov20,5,basketball court,0.5130868351906919,0.6232558988309738
yolo26m_dota,tile640_ov20,6,ground track field,0.31556171213511874,0.5188296273446908
yolo26m_dota,tile640_ov20,7,harbor,0.43260207540281914,0.7186628762327086
yolo26m_dota,tile640_ov20,8,bridge,0.2567095379625579,0.4947265788882337
yolo26m_dota,tile640_ov20,9,large vehicle,0.5713444621212087,0.7385933444213585
yolo26m_dota,tile640_ov20,10,small vehicle,0.3636506313651697,0.6909115148763565
yolo26m_dota,tile640_ov20,11,helicopter,0.2877752980172302,0.5385628341082481
yolo26m_dota,tile640_ov20,12,roundabout,0.39612677299685867,0.6294304698403721
yolo26m_dota,tile640_ov20,13,soccer ball field,0.1912935630662756,0.36206991454674137
yolo26m_dota,tile640_ov20,14,swimming pool,0.2785870750636007,0.5771538468800073
yolo26m_dota,tile640_ov20,15,container crane,0.0,0.0
yolov8m_dota,native1024,0,plane,0.4606237112988074,0.6590453759393496
yolov8m_dota,native1024,1,ship,0.47822096455901236,0.7480405026092605
yolov8m_dota,native1024,2,storage tank,0.22119009064950632,0.3879839327752514
yolov8m_dota,native1024,3,baseball diamond,0.2750794477905071,0.41786221353214853
yolov8m_dota,native1024,4,tennis court,0.8402370414354409,0.8998151199372212
yolov8m_dota,native1024,5,basketball court,0.3894590609637655,0.44341143846976466
yolov8m_dota,native1024,6,ground track field,0.269204329270708,0.3804726794083907
yolov8m_dota,native1024,7,harbor,0.3946160182213314,0.6619422797202588
yolov8m_dota,native1024,8,bridge,0.09930933521878048,0.20819320427322904
yolov8m_dota,native1024,9,large vehicle,0.5414435338390331,0.6982100219181538
yolov8m_dota,native1024,10,small vehicle,0.13672629310138903,0.255573870744282
yolov8m_dota,native1024,11,helicopter,0.164150936177723,0.36752403952076235
yolov8m_dota,native1024,12,roundabout,0.14379972670186952,0.21504954443632943
yolov8m_dota,native1024,13,soccer ball field,0.29533690151313735,0.33684574837608267
yolov8m_dota,native1024,14,swimming pool,0.16828208600351596,0.36702612242519556
yolov8m_dota,native1024,15,container crane,0.0,0.0
yolov8m_dota,native1536,0,plane,0.567043257413792,0.7679554833053551
yolov8m_dota,native1536,1,ship,0.5984568912146825,0.8481256817875336
yolov8m_dota,native1536,2,storage tank,0.3307318035184901,0.5442459357837629
yolov8m_dota,native1536,3,baseball diamond,0.3684186574634865,0.5930460241459135
yolov8m_dota,native1536,4,tennis court,0.8607261200198983,0.919383672106708
yolov8m_dota,native1536,5,basketball court,0.43913314102614304,0.5259103420515715
yolov8m_dota,native1536,6,ground track field,0.3647714490159238,0.5036913128366967
yolov8m_dota,native1536,7,harbor,0.49616339431691536,0.8069757568119126
yolov8m_dota,native1536,8,bridge,0.1463118376767724,0.325822629450776
